Project,Address,Round,Matching Amount
Community Engagement - Bundle 6,0x315e6c37077cc5772709bb7fecd6d7606b4443c4,Alpha (Jan 2023),3383.3
ERC-Cool - The new standard in climate action,0x3196AA0F31dFc8CaD40Dc92C418b8Af5e7ccAD65,GR15 (Sep 2022),130.19705
BiCity Info project,0x32411020F0473Df945800514e9634c0581250917,GR14 (Jun 2022),0.71002541
Crystaltrade,0x32474f494b279329fd9e3eb0a98a9fd85a6f19c5,GG19 (Nov 2023),413.383894
Seaworthy Foundation,0x32b4E483121321146f9E63cF89eA821817e1f9bC,GR12 (Dec 2021),3987.36191
Seaworthy Foundation,0x32b4E483121321146f9E63cF89eA821817e1f9bC,GR13 (Mar 2022),104.403955
Seaworthy Foundation,0x32b4E483121321146f9E63cF89eA821817e1f9bC,GR14 (Jun 2022),22.2747121
Seaworthy Foundation,0x32b4E483121321146f9E63cF89eA821817e1f9bC,GR15 (Sep 2022),2.97904786
Beyond Pollinator-Friendly: EcoCredits to Rebuild Biodiversity,0x32bFf39777e0949fb220F82F982F671ADa7E5867,GR13 (Mar 2022),52.1234306
Beyond Pollinator-Friendly: EcoCredits to Rebuild Biodiversity,0x32bFf39777e0949fb220F82F982F671ADa7E5867,GR15 (Sep 2022),1.07070437
Rainforest Direct,0x338326660F32319E2B0Ad165fcF4a528c1994aCb,GR12 (Dec 2021),12698.8616
Rainforest Alert: a technology-based forest protection method for preventing deforestation on indigenous peoples' lands,0x338326660F32319E2B0Ad165fcF4a528c1994aCb,GR13 (Mar 2022),60.3805716
Rainforest Alert: a technology-based forest protection method for preventing deforestation on indigenous peoples' lands,0x338326660F32319E2B0Ad165fcF4a528c1994aCb,GR14 (Jun 2022),3.07981951
ReFi Spring 2022 Event Series,0x338717d4DBd87D7cCa6756b2932e50FeC2A4b607,GR14 (Jun 2022),1.04856187
The Angry Teenagers - democratising investment in reforestation projects,0x3460bf837b6741035d20ea2d894a4423a859af12,Alpha (Jan 2023),2851.79
The Angry Teenagers - democratising investment in reforestation projects,0x3460BF837B6741035d20Ea2D894A4423A859af12,Beta (May 2023),289.253641
The Angry Teenagers - scalable decentralised funding for real world reforestation & environmental projects,0x3460BF837B6741035d20Ea2D894A4423A859af12,GR15 (Sep 2022),3141.26951
The Wildlife Movement Institute: An Open-Source Tracking Community,0x34864E4fb9b6ebF21D8C860ff920Edd736df21bc,Beta (May 2023),897.047548
Impacta Finance: Scaling Web3 Impact Initiatives,0x34B9bc5132319B38Cd0E6Bc812ad6a40bA7AaDB2,GR15 (Sep 2022),167.353084
Village Grid DAO,0x34BD8A7AE5369B71380B88157e01372182A10638,GR13 (Mar 2022),51.0057917
Village Grid DAO,0x34BD8A7AE5369B71380B88157e01372182A10638,GR14 (Jun 2022),0.77823151
Village Grid DAO,0x34BD8A7AE5369B71380B88157e01372182A10638,GR15 (Sep 2022),4.02790575
Carbon Anti-Theft,0x36a0356d43ee4168ed24efa1cae3198708667ac0,GG19 (Nov 2023),1082.88889
Carbon Anti-Theft,0x36A0356d43EE4168ED24EFA1CAe3198708667ac0,Beta (May 2023),741.220768
Carbon Accounting with Anti-theft + Social (Charity) Tokens and DAO,0x36A0356d43EE4168ED24EFA1CAe3198708667ac0,GR13 (Mar 2022),12.4198141
Carbon Accounting with Anti-theft + Social (Charity) Tokens and DAO,0x36A0356d43EE4168ED24EFA1CAe3198708667ac0,GR14 (Jun 2022),9.84109065
Carbon Accounting with Anti-theft + Social (Charity) Tokens and DAO,0x36A0356d43EE4168ED24EFA1CAe3198708667ac0,GR15 (Sep 2022),1.05487457
Engagemint,0x36A1E54a51639693779bC8a121724aa446f3F57C,GR13 (Mar 2022),4.53088052
Engagemint,0x36A1E54a51639693779bC8a121724aa446f3F57C,GR14 (Jun 2022),0.01218495
New Atlantis: unlocking ocean biodiversity + blue carbon with DeSci & Web3,0x36F72624016C75E96006EC9eD64C575DA538e364,GR15 (Sep 2022),25872.803
Regens Unite: building public goods and a community to support all regens from web3 and beyond,0x371ca2c8f1d02864c7306e5e5ed5dc6edf2dd19c,Alpha (Jan 2023),5927.28
Regens Unite - Bridging Climate Solutions with Events & Media,0x371ca2c8f1d02864c7306e5e5ed5dc6edf2dd19c,GG19 (Nov 2023),2670.05302
SeaBrick,0x37bfa37ec3e9c86596f9737e35d9d49786102079,GG18 (Aug 2023),824.677032
Rebioca,0x37fbf6535ca0d6d35c9077df3322e586c1462ac5,GG18 (Aug 2023),951.053099
Rebioca,0x37fbf6535ca0d6d35c9077df3322e586c1462ac5,GG19 (Nov 2023),1131.81886
Rebioca,0x37fBF6535Ca0d6D35c9077DF3322E586c1462AC5,Beta (May 2023),894.262428
VeganCooks.org,0x38D2b8864Bcd8D4937e5aA8bF9d48D7e06CcFeeB,GR13 (Mar 2022),3.82004405
VeganCooks.org,0x38D2b8864Bcd8D4937e5aA8bF9d48D7e06CcFeeB,GR14 (Jun 2022),0.01218495
Land Regeneration in Colorado,0x391f62c0B34Ee20d923b52a0650ffC061B0264FB,GR14 (Jun 2022),11.0633875
Land Regeneration in Colorado,0x391f62c0B34Ee20d923b52a0650ffC061B0264FB,GR15 (Sep 2022),0.20829021
Solarpunk your street: fund the development of a Citizen Garden kit to reclaim the public space,0x3994df9F08C9C5C3fAF8386A6Dbe0dfCA04D110B,GR15 (Sep 2022),71.0135602
Piloting Prosperity Pools: Facilitating Cultural Climate Change in Solution Spaces grounded in Local Regen Places,0x39B86c3a651E4Ce2e8F8de9074028973D7948567,GR14 (Jun 2022),39.6181579
Piloting Prosperity Pools: Facilitating Cultural Climate Change in Solution Spaces grounded in Local Regen Places,0x39B86c3a651E4Ce2e8F8de9074028973D7948567,GR15 (Sep 2022),32.0948893
Watercycle,0x39D453d4B86c6D97f6D420cB2F0dab957dec0279,Beta (May 2023),1455.37939
watercycle,0x39D453d4B86c6D97f6D420cB2F0dab957dec0279,GR15 (Sep 2022),45.3869925
Zaya ~ Cultivating human-nature symbiosis,0x3a2DD14bd9e6A5a37Cb771600444921EAcB2498e,GR15 (Sep 2022),1.80660126
Yaupon Tea Co. - Creating Sustainable Rewards for Local Suppliers,0x3bf1447785664684709a986d432ca45b5bdfbb7a,GG18 (Aug 2023),392.218471
Yaupon Tea Co. - Creating Sustainable Rewards for Local Suppliers,0x3bf1447785664684709a986d432ca45b5bdfbb7a,GG19 (Nov 2023),469.611931
Blue Morpha Inc.,0x3BF8Df724A745f210A32F693BFCC50dc2c76D405,GR15 (Sep 2022),86.8897661
Avano,0x3c8281c8786ab29bcab5b33566968f8011ea6a59,Alpha (Jan 2023),814.14
Avano,0x3C8281c8786ab29Bcab5B33566968f8011ea6A59,Beta (May 2023),288.273906
Avano [Panvala League]- Decentralized Environmental Offsets (aka Beyond Carbon Credits),0x3C8281c8786ab29Bcab5B33566968f8011ea6A59,GR12 (Dec 2021),3495.8414
Avano [Panvala League]- Decentralized Environmental Offsets (aka Beyond Carbon Credits),0x3C8281c8786ab29Bcab5B33566968f8011ea6A59,GR13 (Mar 2022),2628.15223
